iter	Passed	Remaining
0	155	155500
1	157	78354
2	158	52644
3	160	39933
4	161	32217
5	163	27045
6	164	23378
7	166	20599
8	167	18431
9	168	16695
10	169	15277
11	171	14094
12	173	13169
13	175	12370
14	177	11624
15	178	10972
16	179	10388
17	180	9869
18	182	9403
19	183	8985
20	184	8607
21	185	8263
22	188	8000
23	189	7715
24	191	7449
25	192	7202
26	193	6974
27	194	6761
28	196	6564
29	197	6378
30	198	6204
31	199	6041
32	202	5925
33	203	5783
34	204	5649
35	206	5520
36	207	5398
37	208	5283
38	209	5173
39	211	5067
40	212	4968
41	213	4874
42	215	4790
43	217	4722
44	218	4647
45	220	4567
46	221	4491
47	222	4418
48	224	4348
49	225	4281
50	226	4216
51	227	4153
52	231	4129
53	232	4078
54	234	4022
55	235	3968
56	236	3914
57	237	3863
58	239	3814
59	240	3766
60	241	3719
61	242	3674
62	245	3648
63	247	3612
64	248	3574
65	249	3535
66	251	3502
67	252	3465
68	254	3428
69	255	3392
70	256	3358
71	257	3324
72	260	3308
73	262	3283
74	263	3252
75	264	3221
76	266	3191
77	267	3161
78	268	3132
79	269	3103
80	271	3076
81	272	3049
82	273	3016
83	275	3006
84	277	2985
85	278	2960
86	279	2936
87	281	2912
88	282	2889
89	283	2866
90	284	2844
91	285	2822
92	287	2801
93	288	2782
94	290	2769
95	292	2750
96	293	2731
97	294	2712
98	295	2693
99	297	2674
100	298	2656
101	299	2639
102	301	2621
103	302	2604
104	304	2593
105	306	2581
106	307	2569
107	309	2553
108	310	2537
109	311	2521
110	312	2506
111	314	2490
112	315	2475
113	316	2461
114	317	2446
115	320	2445
116	322	2431
117	323	2418
118	324	2404
119	325	2390
120	327	2377
121	328	2362
122	329	2349
123	330	2336
124	331	2323
125	333	2312
126	335	2305
127	337	2297
128	339	2289
129	340	2278
130	341	2268
131	343	2256
132	344	2245
133	345	2233
134	346	2222
135	348	2213
136	350	2207
137	352	2200
138	353	2189
139	354	2179
140	356	2169
141	356	2157
142	358	2146
143	359	2137
144	360	2127
145	362	2117
146	364	2112
147	365	2106
148	367	2098
149	368	2089
150	370	2082
151	372	2075
152	373	2068
153	375	2062
154	377	2060
155	382	2067
156	384	2066
157	386	2061
158	389	2058
159	391	2053
160	392	2044
161	393	2037
162	396	2034
163	398	2032
164	400	2024
165	401	2016
166	402	2007
167	403	1999
168	405	1991
169	406	1983
170	407	1975
171	410	1976
172	412	1970
173	413	1963
174	414	1955
175	416	1947
176	417	1940
177	418	1932
178	419	1925
179	420	1917
180	422	1910
181	424	1908
182	426	1902
183	427	1895
184	428	1889
185	430	1883
186	431	1876
187	432	1869
188	434	1863
189	435	1856
190	436	1849
191	438	1846
192	440	1843
193	442	1838
194	443	1832
195	445	1825
196	446	1819
197	447	1813
198	448	1806
199	450	1800
200	451	1794
201	452	1789
202	455	1786
203	456	1782
204	458	1776
205	459	1770
206	460	1764
207	461	1758
208	463	1752
209	464	1746
210	465	1741
211	466	1735
212	469	1734
213	470	1729
214	472	1723
215	473	1718
216	474	1712
